# i, xi, phi_tmpi, Ares, rho/np.exp(yi), dAres, dy,rho,yi,np.exp(yi)
0, 0.008383838383838384, -0.11989602875586858, [-5.96570429], [119.27710843], [-5.96570232 -5.96570626], 0.0001, [21146.16997993], 5.177764651330468, 177.28607154890804
1, 0.9916161616161616, -4.52479410386492, [-5.96570429], [1.00845472], [-5.96590862 -5.96549997], 0.0001, [21146.16997993], 9.950794899226391, 20968.883908381093
0, 0.008484848484848484, -0.11979140938460864, [-5.96525935], [117.85714286], [-5.96525736 -5.96526134], 0.0001, [21146.16997993], 5.189740842377184, 179.4220483145576
1, 0.9915151515151515, -4.524675720423623, [-5.96525935], [1.00855746], [-5.96546369 -5.96505502], 0.0001, [21146.16997993], 9.950693029924617, 20966.747931615435
0, 0.008585858585858586, -0.11968676325208882, [-5.96481441], [116.47058824], [-5.9648124  -5.96481643], 0.0001, [21146.16997993], 5.201575300024186, 181.55802508020702
1, 0.9914141414141414, -4.524557329754712, [-5.96481441], [1.00866021], [-5.96501876 -5.96461007], 0.0001, [21146.16997993], 9.950591150244431, 20964.611954849795
0, 0.008686868686868687, -0.1195820949169688, [-5.96436948], [115.11627907], [-5.96436744 -5.96437151], 0.0001, [21146.16997993], 5.213271339787378, 183.69400184585658
1, 0.9913131313131314, -4.524438931849199, [-5.96436948], [1.00876299], [-5.96457384 -5.96416512], 0.0001, [21146.16997993], 9.95048926018372, 20962.475978084156
0, 0.008787878787878787, -0.1194773986213491, [-5.96392454], [113.79310345], [-5.96392249 -5.9639266 ], 0.0001, [21146.16997993], 5.224832162188454, 185.82997861150614
1, 0.9912121212121212, -4.52432052673392, [-5.96392454], [1.00886579], [-5.96412892 -5.96372018], 0.0001, [21146.16997993], 9.950387359740363, 20960.340001318484
0, 0.008888888888888889, -0.11937267786180117, [-5.96347961], [112.5], [-5.96347753 -5.96348169], 0.0001, [21146.16997993], 5.236260858012076, 187.96595537715552
1, 0.9911111111111112, -4.524202114395411, [-5.96347961], [1.00896861], [-5.963684   -5.96327523], 0.0001, [21146.16997993], 9.95028544891225, 20958.204024552862
0, 0.00898989898989899, -0.11926792659188079, [-5.96303468], [111.23595506], [-5.96303257 -5.96303679], 0.0001, [21146.16997993], 5.24756041326601, 190.10193214280508
1, 0.991010101010101, -4.524083694851559, [-5.96303468], [1.00907145], [-5.96323908 -5.96283029], 0.0001, [21146.16997993], 9.950183527697261, 20956.0680477872
0, 0.00909090909090909, -0.11916315173477665, [-5.96258975], [110.], [-5.96258762 -5.96259188], 0.0001, [21146.16997993], 5.258733713864135, 192.2379089084546
1, 0.990909090909091, -4.523965268084419, [-5.96258975], [1.00917431], [-5.96279416 -5.96238535], 0.0001, [21146.16997993], 9.950081596093279, 20953.932071021547
0, 0.009191919191919192, -0.11905835169602685, [-5.96214482], [108.79120879], [-5.96214267 -5.96214697], 0.0001, [21146.16997993], 5.26978355005072, 194.37388567410406
1, 0.9908080808080808, -4.523846834107392, [-5.96214482], [1.00927719], [-5.96234924 -5.96194041], 0.0001, [21146.16997993], 9.949979654098186, 20951.79609425591
0, 0.009292929292929294, -0.11895352686196947, [-5.96169989], [107.60869565], [-5.96169772 -5.96170207], 0.0001, [21146.16997993], 5.280712620582911, 196.50986243975365
1, 0.9907070707070708, -4.523728392898054, [-5.96169989], [1.0093801], [-5.96190432 -5.96149547], 0.0001, [21146.16997993], 9.949877701709863, 20949.660117490246
0, 0.009393939393939394, -0.11884867382029007, [-5.96125497], [106.4516129], [-5.96125277 -5.96125717], 0.0001, [21146.16997993], 5.291523536687126, 198.645839205403
1, 0.9906060606060606, -4.523609944483262, [-5.96125497], [1.00948302], [-5.96145941 -5.96105053], 0.0001, [21146.16997993], 9.94977573892619, 20947.5241407246
0, 0.009494949494949495, -0.11874379585177097, [-5.96081004], [105.31914894], [-5.96080782 -5.96081227], 0.0001, [21146.16997993], 5.302218825803874, 200.7818159710526
1, 0.9905050505050506, -4.5234914888764415, [-5.96081004], [1.00958597], [-5.9610145  -5.96060559], 0.0001, [21146.16997993], 9.949673765745048, 20945.38816395895
0, 0.009595959595959595, -0.1186388914710963, [-5.96036512], [104.21052632], [-5.96036287 -5.96036737], 0.0001, [21146.16997993], 5.312800935134411, 202.9177927367021
1, 0.9904040404040404, -4.523373026059641, [-5.96036512], [1.00968893], [-5.96056958 -5.96016066], 0.0001, [21146.16997993], 9.949571782164316, 20943.25218719329
0, 0.009696969696969697, -0.11853396429239105, [-5.9599202], [103.125], [-5.95991793 -5.95992247], 0.0001, [21146.16997993], 5.323272235001706, 205.05376950235157
1, 0.9903030303030304, -4.523254556019383, [-5.9599202], [1.00979192], [-5.96012467 -5.95971573], 0.0001, [21146.16997993], 9.949469788181872, 20941.116210427634
0, 0.009797979797979799, -0.11842901052873955, [-5.95947528], [102.06185567], [-5.95947298 -5.95947757], 0.0001, [21146.16997993], 5.333635022037253, 207.1897462680011
1, 0.9902020202020202, -4.523136078787028, [-5.95947528], [1.00989493], [-5.95967977 -5.95927079], 0.0001, [21146.16997993], 9.949367783795596, 20938.980233662
0, 0.009898989898989899, -0.11832402744495729, [-5.95903036], [101.02040816], [-5.95902804 -5.95903267], 0.0001, [21146.16997993], 5.343891522204442, 209.3257230336505
1, 0.9901010101010101, -4.5230175943715345, [-5.95903036], [1.00999796], [-5.95923486 -5.95882586], 0.0001, [21146.16997993], 9.949265769003363, 20936.84425689635
0, 0.01, -0.11821901952172809, [-5.95858544], [100.], [-5.9585831  -5.95858778], 0.0001, [21146.16997993], 5.35404389366846, 211.46169979930005
1, 0.99, -4.522899102777371, [-5.95858544], [1.01010101], [-5.95878995 -5.95838093], 0.0001, [21146.16997993], 9.94916374380305, 20934.708280130704
