# i, xi, phi_tmpi, Ares, rho/np.exp(yi), dAres, dy,rho,yi,np.exp(yi)
1, 0.9984848484848485, -4.532827118365384, [-5.99596347], [1.00151745], [-5.99616699 -5.99575995], 0.0001, [21146.16997993], 9.957697779138588, 21114.130328445273
0, 0.0016161616161616162, -0.12684664268607282, [-5.99551843], [618.75], [-5.99551805 -5.99551882], 0.0001, [21146.16997993], 3.531512765773651, 34.17562825039192
1, 0.9983838383838384, -4.532709230895685, [-5.99551843], [1.00161878], [-5.99572197 -5.9953149 ], 0.0001, [21146.16997993], 9.957596610642371, 21111.99435167962
0, 0.0017171717171717172, -0.12674375455664677, [-5.9950734], [582.35294118], [-5.99507299 -5.9950738 ], 0.0001, [21146.16997993], 3.592137387590086, 36.31160501604141
1, 0.9982828282828283, -4.53259133604727, [-5.9950734], [1.00172013], [-5.99527694 -5.99486985], 0.0001, [21146.16997993], 9.957495431910054, 21109.85837491397
0, 0.0018181818181818182, -0.12664084202661297, [-5.99462836], [550.], [-5.99462793 -5.99462879], 0.0001, [21146.16997993], 3.6492958014300343, 38.4475817816909
1, 0.9981818181818182, -4.532473433846713, [-5.99462836], [1.00182149], [-5.99483192 -5.99442481], 0.0001, [21146.16997993], 9.957394242939564, 21107.722398148293
0, 0.0019191919191919192, -0.12653789993028353, [-5.99418333], [521.05263158], [-5.99418288 -5.99418378], 0.0001, [21146.16997993], 3.70336302270031, 40.583558547340395
1, 0.9980808080808081, -4.5323555242894535, [-5.99418333], [1.00192288], [-5.9943869  -5.99397976], 0.0001, [21146.16997993], 9.957293043728832, 21105.586421382646
0, 0.00202020202020202, -0.12643494611714257, [-5.9937383], [495.], [-5.99373782 -5.99373878], 0.0001, [21146.16997993], 3.7546563170878606, 42.71953531298989
1, 0.997979797979798, -4.532237607410979, [-5.9937383], [1.00202429], [-5.99394188 -5.99353472], 0.0001, [21146.16997993], 9.957191834275783, 21103.450444616996
0, 0.002121212121212121, -0.12633194060377617, [-5.99329327], [471.42857143], [-5.99329277 -5.99329377], 0.0001, [21146.16997993], 3.803446481257293, 44.85551207863939
1, 0.9978787878787879, -4.532119683135537, [-5.99329327], [1.00212572], [-5.99349686 -5.99308968], 0.0001, [21146.16997993], 9.957090614578345, 21101.314467851378
0, 0.0022222222222222222, -0.1262289246169841, [-5.99284824], [450.], [-5.99284772 -5.99284877], 0.0001, [21146.16997993], 3.849966496892186, 46.991488844288895
1, 0.9977777777777778, -4.532001751543122, [-5.99284824], [1.00222717], [-5.99305185 -5.99264464], 0.0001, [21146.16997993], 9.95698938463444, 21099.17849108571
0, 0.0023232323232323234, -0.12612588251399393, [-5.99240321], [430.43478261], [-5.99240266 -5.99240376], 0.0001, [21146.16997993], 3.8944182594630194, 49.12746560993838
1, 0.9976767676767677, -4.531883812593568, [-5.99240321], [1.00232864], [-5.99260683 -5.9921996 ], 0.0001, [21146.16997993], 9.956888144441997, 21097.042514320063
0, 0.0024242424242424242, -0.1260228195775337, [-5.99195819], [412.5], [-5.99195762 -5.99195876], 0.0001, [21146.16997993], 3.9369778738818155, 51.263442375587886
1, 0.9975757575757576, -4.531765866282321, [-5.99195819], [1.00243013], [-5.99216182 -5.99175456], 0.0001, [21146.16997993], 9.95678689399894, 21094.906537554412
