# i,xi[i],phi_tmp[i], Ares, rho, dAres, drho
0, 0.0, -2.5012066689742407, [-6.00263921], [21146.16997993], [-6.00263921 -6.00263921], [10.]
0, 0.0014141414141414141, -0.1270517042892756, [-5.99640851], [21146.16997993], [-5.99528928 -5.99752886], [10.]
1, 0.9985858585858586, -4.532945190880763, [-5.99640851], [21146.16997993], [-5.99737209 -5.99544458], [10.]
0, 0.0015151515151515152, -0.12694886837340524, [-5.99596347], [21146.16997993], [-5.99484441 -5.99708366], [10.]
1, 0.9984848484848485, -4.532827310815042, [-5.99596347], [21146.16997993], [-5.9969272  -5.99499938], [10.]
0, 0.0016161616161616162, -0.1268460066236634, [-5.99551843], [21146.16997993], [-5.99439953 -5.99663846], [10.]
1, 0.9983838383838384, -4.5327094233936975, [-5.99551843], [21146.16997993], [-5.99648232 -5.99455419], [10.]
0, 0.0017171717171717172, -0.12674311902128332, [-5.9950734], [21146.16997993], [-5.99395466 -5.99619326], [10.]
1, 0.9982828282828283, -4.532591528604538, [-5.9950734], [21146.16997993], [-5.99603744 -5.994109  ], [10.]
0, 0.0018181818181818182, -0.12664020558599365, [-5.99462836], [21146.16997993], [-5.99350978 -5.99574807], [10.]
1, 0.9981818181818182, -4.532473626464476, [-5.99462836], [21146.16997993], [-5.99559256 -5.99366381], [10.]
0, 0.0019191919191919192, -0.12653726631217532, [-5.99418333], [21146.16997993], [-5.99306491 -5.99530287], [10.]
1, 0.9980808080808081, -4.532355716963195, [-5.99418333], [21146.16997993], [-5.99514768 -5.99321863], [10.]
0, 0.00202020202020202, -0.1264343011951401, [-5.9937383], [21146.16997993], [-5.99262004 -5.99485768], [10.]
1, 0.997979797979798, -4.5322378001166665, [-5.9937383], [21146.16997993], [-5.9947028  -5.99277344], [10.]
0, 0.002121212121212121, -0.1263313102330259, [-5.99329327], [21146.16997993], [-5.99217518 -5.99441249], [10.]
1, 0.9978787878787879, -4.5321198759127, [-5.99329327], [21146.16997993], [-5.99425793 -5.99232825], [10.]
0, 0.0022222222222222222, -0.12622829343804431, [-5.99284824], [21146.16997993], [-5.99173031 -5.9939673 ], [10.]
1, 0.9977777777777778, -4.5320019443644455, [-5.99284824], [21146.16997993], [-5.99381305 -5.99188307], [10.]
0, 0.0023232323232323234, -0.12612525078954784, [-5.99240321], [21146.16997993], [-5.99128544 -5.99352211], [10.]
1, 0.9976767676767677, -4.53188400546534, [-5.99240321], [21146.16997993], [-5.99336818 -5.99143789], [10.]
0, 0.0024242424242424242, -0.12602218230726692, [-5.99195819], [21146.16997993], [-5.99084058 -5.99307692], [10.]
1, 0.9975757575757576, -4.53176605922291, [-5.99195819], [21146.16997993], [-5.99292331 -5.99099271], [10.]
0, 0.002525252525252525, -0.12591908798557627, [-5.99151317], [21146.16997993], [-5.99039572 -5.99263174], [10.]
1, 0.9974747474747475, -4.531648105635282, [-5.99151317], [21146.16997993], [-5.99247844 -5.99054753], [10.]
0, 0.0026262626262626263, -0.12581596781791582, [-5.99106814], [21146.16997993], [-5.98995086 -5.99218655], [10.]
1, 0.9973737373737374, -4.531530144709986, [-5.99106814], [21146.16997993], [-5.99203357 -5.99010235], [10.]
0, 0.0027272727272727275, -0.1257128218108643, [-5.99062312], [21146.16997993], [-5.989506   -5.99174137], [10.]
1, 0.9972727272727273, -4.5314121764357544, [-5.99062312], [21146.16997993], [-5.99158871 -5.98965718], [10.]
0, 0.0028282828282828283, -0.1256096499588022, [-5.9901781], [21146.16997993], [-5.98906114 -5.99129619], [10.]
1, 0.9971717171717172, -4.5312942008257515, [-5.9901781], [21146.16997993], [-5.99114384 -5.989212  ], [10.]
0, 0.002929292929292929, -0.1255064522701863, [-5.98973308], [21146.16997993], [-5.98861628 -5.99085101], [10.]
1, 0.9970707070707071, -4.5311762178884365, [-5.98973308], [21146.16997993], [-5.99069898 -5.98876683], [10.]
0, 0.0030303030303030303, -0.12540322873562637, [-5.98928807], [21146.16997993], [-5.98817143 -5.99040583], [10.]
1, 0.996969696969697, -4.53105822760878, [-5.98928807], [21146.16997993], [-5.99025412 -5.98832166], [10.]
0, 0.0031313131313131315, -0.1252999793598435, [-5.98884305], [21146.16997993], [-5.98772658 -5.98996065], [10.]
1, 0.9968686868686869, -4.530940229999956, [-5.98884305], [21146.16997993], [-5.98980926 -5.98787649], [10.]
0, 0.0032323232323232323, -0.1251967041418891, [-5.98839804], [21146.16997993], [-5.98728172 -5.98951548], [10.]
1, 0.9967676767676767, -4.530822225067592, [-5.98839804], [21146.16997993], [-5.9893644  -5.98743132], [10.]
0, 0.003333333333333333, -0.1250934030789712, [-5.98795303], [21146.16997993], [-5.98683687 -5.98907031], [10.]
1, 0.9966666666666667, -4.530704212792928, [-5.98795303], [21146.16997993], [-5.98891954 -5.98698616], [10.]
0, 0.0034343434343434343, -0.12499007618047386, [-5.98750802], [21146.16997993], [-5.98639202 -5.98862513], [10.]
1, 0.9965656565656565, -4.530586193203195, [-5.98750802], [21146.16997993], [-5.98847469 -5.98654099], [10.]
0, 0.0035353535353535356, -0.12488672343420859, [-5.98706301], [21146.16997993], [-5.98594718 -5.98817996], [10.]
1, 0.9964646464646465, -4.530468166292774, [-5.98706301], [21146.16997993], [-5.98802983 -5.98609583], [10.]
0, 0.0036363636363636364, -0.1247833448486233, [-5.986618], [21146.16997993], [-5.98550233 -5.98773479], [10.]
1, 0.9963636363636363, -4.530350132050394, [-5.986618], [21146.16997993], [-5.98758498 -5.98565067], [10.]
0, 0.003737373737373737, -0.12467994041809893, [-5.986173], [21146.16997993], [-5.98505749 -5.98728963], [10.]
1, 0.9962626262626263, -4.530232090492035, [-5.986173], [21146.16997993], [-5.98714013 -5.98520551], [10.]
0, 0.0038383838383838384, -0.12457651014545501, [-5.98572799], [21146.16997993], [-5.98461264 -5.98684446], [10.]
1, 0.9961616161616161, -4.530114041612064, [-5.98572799], [21146.16997993], [-5.98669528 -5.98476035], [10.]
0, 0.00393939393939394, -0.12447305403070441, [-5.98528299], [21146.16997993], [-5.9841678 -5.9863993], [10.]
1, 0.9960606060606061, -4.529995985418008, [-5.98528299], [21146.16997993], [-5.98625043 -5.98431519], [10.]
0, 0.00404040404040404, -0.12436957206821297, [-5.98483799], [21146.16997993], [-5.98372296 -5.98595413], [10.]
1, 0.9959595959595959, -4.5298779219145615, [-5.98483799], [21146.16997993], [-5.98580558 -5.98387003], [10.]
0, 0.004141414141414141, -0.12426606426456699, [-5.98439299], [21146.16997993], [-5.98327812 -5.98550897], [10.]
1, 0.9958585858585859, -4.529759851094223, [-5.98439299], [21146.16997993], [-5.98536074 -5.98342488], [10.]
0, 0.004242424242424242, -0.12416253062258376, [-5.98394799], [21146.16997993], [-5.98283329 -5.98506381], [10.]
1, 0.9957575757575757, -4.52964177296357, [-5.98394799], [21146.16997993], [-5.98491589 -5.98297972], [10.]
0, 0.004343434343434344, -0.12405897113945841, [-5.98350299], [21146.16997993], [-5.98238845 -5.98461865], [10.]
1, 0.9956565656565657, -4.529523687527307, [-5.98350299], [21146.16997993], [-5.98447105 -5.98253457], [10.]
0, 0.0044444444444444444, -0.12395538580767429, [-5.983058], [21146.16997993], [-5.98194362 -5.9841735 ], [10.]
1, 0.9955555555555555, -4.529405594782615, [-5.983058], [21146.16997993], [-5.98402621 -5.98208942], [10.]
0, 0.004545454545454545, -0.12385177463288288, [-5.982613], [21146.16997993], [-5.98149878 -5.98372834], [10.]
1, 0.9954545454545455, -4.529287494729509, [-5.982613], [21146.16997993], [-5.98358137 -5.98164427], [10.]
0, 0.004646464646464647, -0.12374813761414183, [-5.98216801], [21146.16997993], [-5.98105395 -5.98328319], [10.]
1, 0.9953535353535353, -4.529169387380193, [-5.98216801], [21146.16997993], [-5.98313653 -5.98119913], [10.]
