epsilon, H2O-ethane, total obj
[253.34825857298574, 0.31984890756542445, 0.31984890756542445]
[255.73833648405167, 0.23084952387358004, 0.23084952387358004]
[254.14495121000772, 0.23077162844051624, 0.23077162844051624]
[254.5432975285187, 0.20959770707495293, 0.20959770707495293]
[255.33999016554068, 0.21032455913680814, 0.21032455913680814]
[254.7424706877742, 0.20452751978847591, 0.20452751978847591]
[255.1408170062852, 0.20497712602285512, 0.20497712602285512]
[254.84205726740194, 0.2033327826347935, 0.2033327826347935]
[255.04123042665745, 0.2035682879183427, 0.2035682879183427]
[254.89185055721583, 0.20306519161087644, 0.20306519161087644]
[254.99143713684356, 0.20318454220057572, 0.20318454220057572]
[254.91674720212276, 0.2030136381406057, 0.2030136381406057]
[254.89185055721583, 0.20306519161087644, 0.20306519161087644]
[254.92919552457624, 0.20300776421666245, 0.20300776421666245]
[254.94164384702972, 0.20301655353721873, 0.20301655353721873]
[254.92297136334952, 0.20300953983105738, 0.20300953983105738]
[254.93541968580297, 0.20301084910363879, 0.20301084910363879]
[254.92608344396288, 0.20300816918909098, 0.20300816918909098]
[254.9323076051896, 0.20300845279494195, 0.20300845279494195]
[254.92763948426955, 0.2030078445905564, 0.2030078445905564]
[254.93075156488294, 0.20300855025326683, 0.20300855025326683]
[254.9284175044229, 0.20300857448561557, 0.20300857448561557]
[254.9284175044229, 0.20300857448561557, 0.20300857448561557]
[254.9299735447296, 0.20300815550178553, 0.20300815550178553]
[254.92958453465292, 0.20300817206166616, 0.20300817206166616]
[254.92880651449957, 0.20300805000731986, 0.20300805000731986]
[254.92958453465292, 0.20300817206166616, 0.20300817206166616]
[254.9290010195379, 0.20300873304604525, 0.20300873304604525]
[254.9290010195379, 0.20300873304604525, 0.20300873304604525]
[254.92939002961458, 0.20300825841812367, 0.20300825841812367]
[254.9292927770954, 0.20300814062261371, 0.20300814062261371]
[255.02369656029504, 0.2034085245373837, 0.2034085245373837]
[267.7748813883098, 4.583740541261218, 4.583740541261218]
[242.2725117322803, 12.449947722393247, 12.449947722393247]
[261.3992889743024, 1.6182881185288778, 1.6182881185288778]
[248.64810414628766, 2.4629296711298765, 2.4629296711298765]
[258.21149276729875, 0.6163690464154669, 0.6163690464154669]
[251.83590035329132, 0.6802742526988089, 0.6802742526988089]
[256.6175946637969, 0.31975746564402496, 0.31975746564402496]
[253.42979845679315, 0.30773880780651264, 0.30773880780651264]
[254.22674750854407, 0.22519761660183632, 0.22519761660183632]
[255.820645612046, 0.2366781606005849, 0.2366781606005849]
[254.62522203441955, 0.20707628228247224, 0.20707628228247224]
[255.42217108617052, 0.2134990977756742, 0.2134990977756742]
[254.8244592973573, 0.20347996625877246, 0.20347996625877246]
[255.22293382323278, 0.20677659585642516, 0.20677659585642516]
[254.92407792882616, 0.20300899138529532, 0.20300899138529532]
[254.8244592973573, 0.20347996625877246, 0.20347996625877246]
[254.97388724456061, 0.20310037120929864, 0.20310037120929864]
[254.87426861309171, 0.20313528020770288, 0.20313528020770288]
[254.94898258669338, 0.20302768369528124, 0.20302768369528124]
[254.89917327095895, 0.20304467597284978, 0.20304467597284978]
[254.93653025775978, 0.20301114026003603, 0.20301114026003603]
[254.91162559989255, 0.20301953063195272, 0.20301953063195272]
[254.930304093293, 0.20300797855595315, 0.20300797855595315]
[254.9365302577598, 0.20301148156220322, 0.20301148156220322]
[254.92719101105956, 0.2030085810005677, 0.2030085810005677]
